Örnek İndeksi,Gerçek Etiket,Modelin Tahmini,Metin
2250,Negative,Positive,"Oh, man! This thing scared the heck out of me when I first watched it... and I was SIXTEEN!!!<br /><br />That creepy animated Barbie is scary as hell! I want to stop talking about her now."
2254,Negative,Positive,"One of my sisters friends lent me this game, and it is too damn hard! It carries the appearance of a kids game, but you have to learn how to do tons of intricate moves that require you to twist and turn your hands into all sorts of awkward positions, and you have to search seemingly endless levels for 100 notes, to improve your 'score'! You also have to find these impossibly hidden jigsaw puzzle pieces, that require you to do almost impossible tasks to get them! AND I AM ONLY UP TO STAGE THREE!!!!! Maybe if you have no life nad can stay home all the time you might get some enjoyment out of this, but otherwise keep away! AND IT IS DEFINATELY NOT RECOMMENDED FOR KIDS - THEY WILL PULL THEIR HAIR OUT WITHIN THE HOUR!"
2271,Positive,Negative,"The problem with TV today is that people have been spoiled by ""lite"" TV viewing. This type of television show is the equivalent of elevator music or ""easy listening"" jazz. The typical viewers idea of ""continuity"" is remembering who got voted off the island last week and wondering who will be the next to go. Show them a program like surface, Firefly, Dr. Who, or anything with a plot arc of more than three episodes and...well, they'll just flip back to Survivor.<br /><br />95% of the sheep watching TV don't want to rack their brains. They want excuses to not think. They want to make sure the ""boob tube"" lives up to its name...and they don't want shows that try and go any other route. Because of this, Surface and many other high-quality shows that should have lasted far longer have gotten the axe.<br /><br />TV viewers don't want stories, or morals, or philosophy, or anything over a third grade vocabulary level. They want people eating earthworms, or over-dramatized ""real life"" series (no such thing! You cannot observe something without changing the very nature of what you observe) or hormonal shows involving groups of people having trysts and then bragging about it to their friends.<br /><br />Today's television is nothing but a wasteland, and the few diamonds you can pick out of the dust are just tossed out because no one even knows what a diamond is anymore. Surface was one of those diamonds."
2327,Negative,Positive,"This video guide was the masterpiece of the year 1995. Beautifully done! Matthew Perry and Jennifer Aniston have major on-screen chemistry when they talk about what the Start button does. I'm waiting for Microsoft to release a Special Edition DVD complete with deleted scenes, Bill Gates commentary, a documentary of how Windows 95 compares to Windows XP, and more!<br /><br />Overall: 10/10 (Should have won at least a Golden Globe)"
2346,Negative,Positive,"I've seen many horror, splatter, monster movies in my life. And of course also a lot of monster movies from the 50's and 60's. When I first stumbled over this one I thought this is from the 60's until I recognized it's from 2007.<br /><br />In fact the character of Jack Brook is interesting and the acting all in all is for a splatter movie quite good, but.... I expected a splatter movie and not a drama story about a aggressive plummer. The movie runs 80 Mminutes and I think the first kill is after 65 minutes. Although it takes hours to explain the story the reason where are the monsters come from takes at least 3 minutes... the we have another 20 minutes boring dialogue and finally a, in my opinion, not that well managed splatter sequence. Although we have Robert Englund starring here I only recommend this one to real hardcore horror fans."
2357,Negative,Positive,"This movie is very scary with scenes where the Devil uses Gabriels horn to open Heaven and pull the good angel-dogs out and imprision them on Alkatraz. The devil sings and dances to a few songs about the joys of being bad, and at one point, eats a live rat.<br /><br />We got this movie free with a pizza. You get what you pay for."
2361,Negative,Positive,"I have recently found this film on one of my husband's VHS tapes (the blank variety which he uses to record stuff from the telly). The film looks as if it was last shown in the eighties and I don't remember having seen it since. It has not (to my knowledge) been released on DVD or VHS although I shall browse around for a copy.<br /><br />The film tells the story of three young people: two girls, one on the edge of puberty and the other much younger, and a young boy who go to live with their mother's brother and his young, mute Irish wife. His wife also has two brothers who live with them. The children's uncle is an unpleasant control freak who forces his young wife to wear a silver collar whilst she watches a marionette show put on by him and her brothers in his toyshop.<br /><br />The eldest girl and one of the Irishmen (the younger) develop a love for each other whilst they live in the same house. The girl helps her aunt out in the shop whilst her brother helps his uncle to make things in the workshop.<br /><br />There are a lot of very disturbing elements to the film. There is the uncle's treatment of his wife as some kind of dumb (literally) possession (illustrated by the collar) whilst the Irish indulge dancing, drinking and somewhat forbidden love. Interestingly, though, I have seen far more explicit themes played out in other movies made in Hollywood today.<br /><br />Makes you wonder whether the British film industry and the BBC have some kind of hidden agenda going on.<br /><br />Still, despite it not being a children's movie, there are a lot of playful, magic moments in it and the one Irishman does some beautiful paintings."
2363,Positive,Negative,"I love ghost stories in general, but I PARTICULARLY LOVE chilly, atmospheric and elegantly creepy British period-style ghost stories. This one qualifies on all counts. A naive young lawyer (""solicitor"" in Britspeak) is sent to a small village near the seaside to settle an elderly, deceased woman's estate. It's the 1920s, a time when many middle-class Brits go to the seaside on vacation for ""their health."" Well, guess what, there's nothing ""healthy"" about the village of Crythin Gifford, the creepy site of the elderly woman's hulking, brooding Victorian estate, which is located on the fringes of a fog-swathed salt marsh. When the lawyer saves the life of a small girl (none of the locals will help the endangered tot -- you find out why later on in the film), he inadvertently incurs the wrath of a malevolent spirit, the woman in black. She is no filmy, gauzy wraith, but a solid black silhouette of malice and evil. The viewer only sees her a few times, but you feel her malevolent presence in every frame. As the camera creeps up on the lawyer while he's reading through legal papers, you expect to see the woman in black at any moment. When the lawyer goes out to the generator shed to turn on the electricity for the creepy old house, the camera snakes in on him and you think she'll pop up there, too. Waiting for the woman in black to show up is nail-bitingly suspenseful. We've seen many elements of this story before(the locked room that no one enters, the fog, the naive outsider who ignores the locals' warnings) but the director somehow manages to combine them all into a completely new-seeming and compelling ghost story. Watch it with a buddy so you can have someone warm to grab onto while waiting for the woman in black. . ."
2381,Negative,Positive,"The story and the show were good, but it was really depressing and I hate depressing movies. Ri'Chard is great. He really put on a top notch performance, and the girl who played his sister was really awesome and gorgeous. Seriously, I thought she was Carmen Electra until I saw the IMDb profile. I can't say anything bad about Peter Galleghar. He's one of my favorite actors. I love Anne Rice. I'm currently reading the Vampire Chronicles, but I'm glad I saw the movie before reading the book. This is a little too""real"" for me. I prefer Lestat and Louis's witty little tiffs to the struggles of slaves. Eartha Kitt was so creepy and after her character did what she did The movie was ruined for me; I could barely stand to watch the rest of the show. (sorry for the ambiguity, but I don't want to give anything away) Sorry, but it's just not my type of show."
2384,Positive,Negative,"Henry Fool is a better film. But this is the perfect way to follow-up a film like 'Henry Fool.' To take Henry very seriously, his 'lies' and his mysterious aura. Even the opening shot of 'Henry Fool' when Simon puts his ear to the ground as Henry comes walking over the hill is more fully manifest through 'Fay Grim.' The over-the-top jokes, that are more or less meta-jokes (about the writing of the film and the jokes themselves), are good but the opening of the film is a little saturated in them. Also Hartley's use of Dutch angles throughout the film is jarring, yes, it's intention, but it feels forced and over-used, it goes beyond jarring to, what I'd like to call, annoying. It's a flawed film, but a must see for any Hartley or 'Henry Fool' fan. <br /><br />And don't listen to stupid reviews, don't watch this unless you've seen the first film. The intrigue, satire and wit of this movie is totally lost if you haven't seen Henry Fool. It's a sequel. That's just dumb."
2406,Positive,Negative,"What exactly do people expect when they watch an Al Adamson film? Are they expecting classic cinema that is wonderful beyond belief and will leave them with lasting memories? You'd think so by some of the reviews. Al Adamson's films are trashy and sleazy and cheesy, not much more, so if you go into them knowing that already it helps, and they aren't necessarily to be taken at face value, especially when they have so much unintentional entertainment value. First off, this starts by ripping off the end theme music from Outer Limits, so you know things are looking promising. This is the story of some wacko cult that lives in the hills and while trying to raise a dead body, the leader suffers a heart attack and ends up in the hospital. Of course Nurse Sherri tends to his needs and all, and when an operation is needed she just happens to be hanging out in the operating room when the guy passes on so his spirit invades her. And Nurse Sherri begins to change. No longer the nice nurse, she develops a taste for blood and sharp objects. There's a couple little side stories going on like folks trying to burn the body of the dead cult leader and a blinded football star that has become the love object of one of Sherri's co-workers who also just happens to dabble in voodoo. This is not bad if you're a cult film fan, but it may be bad if you're a ""Spiderman"" fan because you won't like it. At times this actually lurches towards ""respectability"" (for Adamson, anyway) but then it ""unredeems: itself with some ridiculous event. If you enjoy Adamson's films and similar trash you may well like this, for anyone else who may be looking for a lost treasure, keep digging. 7 out of 10."
2423,Positive,Negative,"Some critics have compared Chop Shop with the theatrical releases of City of God and Pixote. I've seen both of those as well as Chop Shop and like in many instances, I don't feel the comparison is warranted. City of God and Pixote surely had a much higher budget. Chop Shop is a low budget independent film about survival and hope, disappointment, and continuing with life. One of the scenes is allegedly filmed during the US Open and either the filmmakers had incredible connections or the scene was filmed at another time and the US open footage was added. I say that because I live in the area where this movie was filmed and security is insane while the tennis matches are in progress. It's also noteworthy that the actors actual names were their character's names in the movie. Back to the movie. It's an enjoyable story about survival. However, it ended up getting a 7 because... at times the actors acted extremely well. At other times, they appeared to be just reciting their lines. If the actors were less competent (as they were in the low budget ""The Big Dis"" for example) I would have been more forgiving. But in several scenes each and every one of these actors gave exemplary performances. At other times, they appeared bored. The director might be at fault here. I also had problems with the ending. This is one of those movies that ""just ends"". Maybe there will be a part 2? Definitely worth getting on DVD. I wont bother summing up the story because that info is already available on IMDb."
2453,Negative,Positive,"Serge Farnel made a very precise critics of this film in the revue ""The Rwandese night"" (www.lanuitrwandaise.net)<br /><br />A critics which shows how France was behind all the situation undergone by the United Nations in Rwanda.<br /><br />The UN soldiers were in a dangerous situation while the french soldiers were warmly welcomed by the genocide forces.<br /><br />The day before, ten UN soldiers had been killed by the genocide forces.<br /><br />That is why the UN soldiers decided to protect their own lives by driving behind the french trucks.<br /><br />By doing so, they gave up the Tutsi which is unforgivable of course.<br /><br />But we must keep in mind that the french soldiers organized this situation."
2456,Negative,Positive,"The trailers for this movie promised and this movie delivered exactly what was promised: Good campy fun with lots of very good looking naked broads! If you were expecting a major Hollywood movie with major stars, stellar budgets, and MPAA tamed money shots, you will be *very* disappointed.<br /><br />However, if you are a fan of the old ""B"" movies with unknown, but very good looking young stars that act amazingly well, given the material, some hokey, but surprisingly well done special effects, and very tight naked nubile bodies, this movie is almost heaven!"
2462,Positive,Negative,"Tarzan and his mate(1934) was the only Tarzan movie I didn't see when I was a kid. It sounded boring. Now I have seen it. I have seen the ape man(1932) about a hundred times and I keep a copy on my drive. It's a remarkable movie. It's almost flawless. Tarzan and his mate(1934) however, falters. It's not harmonic and it's parts tend to live a life of there own. The parts themselves are often very good and the action sequences are great. Big budget expensive. Tarzan himself is co-starring. Jane dominates. She have developed and have become a jungle girl so sexy I tend to forget about criticism and sing her praise instead. Well. She let her be duped by a crock who steels a kiss from her and later murder an elephant. She insists Tarzan to carry a bracelet who belonged to her father. Forever. The thing would split to pieces the moment he went about his businesses in the jungle. Stupid? Later someone founds it in the river. Well it's supposed to proof Tarzan is dead. Some cheap drama. The crocks who has an obvious interest in a dead Tarzan convince Jane that he is gone. She takes their words for granted and want to be taken away(to England). Stupid Jane seems to have forgot how tough Tarzan is, how hard he is to kill. The caravan is leaving and Jane go along. Again a pothole. She could easily make the caravan rest for a few hours or more, to pick up a few things and say goodbye to the jungle and her dead husband. She could be smart. She could dive where they found the floating bracelet, check the banks for traces. She can make fire in 15 seconds and swing in Liana's. Picking up traces shouldn't be too hard for jungle Jane. She could talk to the apes, and so on. If she get home to England without have done this she would become miserable. Jane is smart but cheap drama brings her down. And why on earth is she letting the kiss rapist get away with ""I blame myself as much as you"". A punishment for being vane perhaps? Nonsense. Struggle, a hard slap and telling Tarzan would be appropriate. Still. This movie is far from bad even if the potholes are many and sometimes deep. Just lean back and enjoy. It's Tarzan and Jane for God sake."
2476,Positive,Negative,"During WW2 in the Philipines, Japanese soldiers are starving, dying, growing weak, and becoming more and more insane. A small group of soldiers, trying to stay alive, have eventually resorted to cannibalism. This film perfectly portrays the insanity that overtakes people under extreme conditions. There are a few humorous parts in this movie, but the majority of it is just a very slow moving and realistic film. It follows these soldiers from one painful moment to another, and eventually to death. A very interesting film, showing the death, and the horror, of what may have been the worst war the world has ever seen."
2518,Negative,Positive,"When I first saw this film in cinema 11 years ago, I loved it. I still think the directing and cinematography are excellent, as is the music. But it's really the script that has over the time started to bother me more and more. I find Emma Thompson's writing self-absorbed and unfaithful to the original book; she has reduced Marianne to a side-character, a second fiddle to her much too old, much too severe Elinor - she in the movie is given many sort of 'focus moments', and often they appear to be there just to show off Thompson herself.<br /><br />I do understand her cutting off several characters from the book, but leaving out the one scene where Willoughby in the book is redeemed? For someone who red and cherished the book long before the movie, those are the things always difficult to digest.<br /><br />As for the actors, I love Kate Winslet as Marianne. She is not given the best script in the world to work with but she still pulls it up gracefully, without too much sentimentality. Alan Rickman is great, a bit old perhaps, but he plays the role beautifully. And Elizabeth Spriggs, she is absolutely fantastic as always."
2519,Negative,Positive,"1st the good news. The 3-D is spectacularly well done, and they don't go for the gotcha gimmicks. The film is based on the true story of the high point in human history, and even features one of the actual participants in that story: Buzz Aldrin.<br /><br />And now the meat of the matter: It's about FLIES, for krissakes! Flies with big, googy human eyes, true, but flies nonetheless. Remember when I likened the ""Underworld"" movies to rats vs. cockroaches? That wasn't intended as praise, and I never dreamed anyone would take it literally. This one's got even less empathy going for it. Baby maggots? Ugh. In one of those odd confluences of Hollywood groupthink, this flik was evidently on the drawing boards at the same time as ""Space Chimps"", also about critters in space.<br /><br />Go rent ""Apollo 13"" and see a 9-rated movie about the REAL space program (RIP)."
2542,Negative,Positive,"I saw this movie at a drive-in in 1959. Until ""Howard the Duck"" I considered this the worst movie I had ever seen. This movie tried to combine all the genera in one; comedy, horror, teenage angst, and the hot rod that must have sired ""My Mother, The Car."" Maybe it deserves a second viewing to see if it is an accurate reflection of it's time."
2550,Negative,Positive,"I opted to see the film at the recent Dubai Film Festival because it had been selected to the Cannes film festival's prestigious Competition section. I was surprised that Cannes could be so off the mark in judging quality.<br /><br />The film, some reviewers, have noted does not have too much of gunfire--but the inherent violence is repulsive. Imagine killing your enemy/competitor in front of your young son..or forcing someone to eat a porcelain spoon to prove loyalty. There are some hints of the contrasting Corleone sons in Copolla's ""Godfather"" that seem to resurface here in this Chinese/Hong Kong film but the quality of the two are as distinctly different as chalk and cheese.<br /><br />This film is only recommended for violence junkies..there is no great cinema here. At best it might be considered to be better than the usual Run Run Shaw production for production values."
2564,Positive,Negative,"I rented this movie without having heard (or read) anything about it. What a shame! This movie is intelligent, witty, hilarious, fast-paced, and realistically ridiculous. The characters manage to get developed without relying too heavily on clichéd, tired stereotypes. It was refreshing to watch. I couldn't help thinking that marketing would have helped lob this not-so-mainstream movie into the starved-for-intelligent-comedy mainstream. The quality of the dialogue and the ease with which the actors execute a huge range of awkwardness, heartbreak and comedy is so rare these days--I felt that the actors must have really enjoyed participating in something this rich. How is it that National Treasure was number one at the box office for three weeks in a row--it is so weak in too many ways to mention. I guess I'm just happy that movies like ""Seeing.."" are still being made somewhere out there."
2575,Positive,Negative,"I swore I would never allow myself to devolve into to the bogus authority figures of the sixties who told me things were better in the ""good old days""  the current Australian Prime Minister is a sordid example of just such a mind set.<br /><br />But I switched over to ""A Decade Under the Influence"" because I found watching the much-heralded ""Sneakers"" documentary on the other channel such a dispiriting experience. I found the values expressed by the ""Sneakers"" interviewees too ugly to accept as reasonable. So materialistic! So devoid of any sense of outrage at a society that can countenance killing someone to steal his very ugly shoes! So lacking in any worthwhile purpose that they can report without distaste the exploitation an audience by haranguing them to hold those shoes above their heads to lock in a sponsorship deal for themselves with a company of cobblers was just too much to continue watching.<br /><br />""A Decade Under the Influence"" depicted a completely different response to the fruit of stupidity, corruption and concupiscence in high (and low) places.<br /><br />I have noted the change in film-making that accompanied the exposure of America's disastrous foreign policy debacles in Vietnam and so many less reported places in my www.peterhenderson.com.au website. ""A Decade Under the Influence"" documents the precise moment at which that change took place.<br /><br />Before the seventies, the armed forces were depicted in American films as an invincible fighting force comprised of decent human beings who transmogrified into conquering heroes on the battlefield. After the seventies they are generally portrayed as a dispirited rabble misled by a bunch of bureaucrat clowns in the Pentagon Before the seventies, the FBI agent and the honest cop tended to be depicted as your friend and protector. After the seventies, the FBI agents were all incompetent and the best a cop could aspire to was to ignore their foolishness and his superior's corruption and uphold justice in his own idiosyncratic manner.<br /><br />Before the seventies, the archetypical American ""little guy"", the ""average Joe"", the Jimmy Stewart type would face down the problems encountered and thereby gain some insight into underlying wisdom of his elected leaders and justice of the ""American Way"". After the seventies, Kevin Costner usurps that role, but now he is the voice of one crying out in the wilderness for evil to be exposed, or accepting his lot and making out the best he can.<br /><br />And now those ""old time religion"" mindsets have been stripped of any honesty and righteousness and portrayed (with a certain amount of justification) as sanctimonious bigotry and self-serving hypocrisy.<br /><br />""A Decade Under the Influence"" tells it like it was. ""A Decade Under the Influence"" tells it like it is now. It depicts the redemption of the American film industry from the hands of the artistically, morally and intellectually bankrupt studio moguls. It shows the storming of the Hollywood Bastille by the independent film makers who promised to get a disillusioned and tired audience back into the cinemas. The fact that their failures were numerous, and at times disastrous, merely underlines the greatness of their achievement. An achievement reflected in the adventurous and questioning attitudes of the big box office stars such as Clooney, Daman, Affleck etc and the directors and producers who provide the vehicles for their talent."
2582,Positive,Negative,"I can't remember many films where a bumbling idiot of a hero was so funny throughout. Leslie Cheung is such the antithesis of a hero that he's too dense to be seduced by a gorgeous vampire... I had the good luck to see it on a big screen, and to find a video to watch again and again. 9/10"
2584,Negative,Positive,"The third film based on Charles Belden's play entitled ""Mystery of the Wax Museum"" (1933) targets generation X-tasy. Twin screenwriters, Chad Hayes and Carey W. Hayes, spend more time developing the main characters than other slasher movies--a promising start. Their condition guarantees an authentic point of view. The role of Paige (Paris Hilton) was not much of a stretch for the world's favorite heiress. She peruses ""In Style,"" stripteases boys, chats on a cell, and frets over an ill-conceived pregnancy. Her regular routine has been altered beyond repair. Hilton reached the peak of her performance--not so hot--during the ""1 Night in Paris"" (2004) parody. While the pimp-my-ride is in motion, she zealously ""looks for lip balm"" in her boyfriend's (Robert Ri'chard) lap. Finally, the ""actress"" atones for using the ""N"" word on the sex tape. Director Jaume Collet-Serra molds his take on the twin thing contrary to the theme of the past. Each exhibited opposite characteristics back then, whereas a pair of either good or bad can come out the womb today. However, the latter does not rule out the former. Childbirth constitutes the luck of the draw. Spectators can hardly consider Vincent (Brian Van Holt) a contemporary Quasimodo. Granted, the recluses share some similarities such as artistry, disfigurement, submissiveness, and murder. Yet, one small variable between the two makes all the difference. Vincent is even uglier on the inside than he is on the out. Collet-Serra's ""House of Wax"" pays homage to actor Vincent Price from the first remake in 1953. The film leaves obvious van Gogh puns to the imagination of the audience. Still, the choice to split the antagonist in two eliminates a vibrant twist at the end. Professor Henry (Vincent Price) Jarrod's unmasking receives runner-up, but the most terrifying one in horror movie history belongs to Lon Chaney in ""Phantom of the Opera"" (1925). As far as the new contender is concerned, the aftermath of separation surgery downplays the effect. A surgeon should know operating on Siamese twins scars them--physically and psychologically. Their father needs to call a couple colleagues--Dr. Phil to consult and Dr. McNamara to nip/tuck. Despite what the trailers said, ""Wax"" is not forever. In fact, you can rid yourself of it by burning it."
2591,Negative,Positive,"A ruthless assassin has been hired to eliminate someone at the very top of the U.S. government. Constantly changing his identity and location, he is known only as the Jackal. Everything about this hit man is a secret. Aware of the Jackal's presence but uncertain of his purpose, the FBI's Deputy Director faces the biggest challenge of his career. In order to track down this cold-blooded killer, he and a by-the-book Russian intelligence officer enlist the aid of an imprisoned Irish terrorist. These unlikely allies enter a global race against the clock to stop the mysterious mercenary before he can complete his assignment. If you are looking for a non-stop action movie like Die Hard, then The Jackal is not your movie. It´s a slow spy thriller with many cool gadgets and weapons. Richard Gere does a good job playing an impassioned terrorist who is helping the FBI for a deeper cause than just freedom. And Willis puts forth a good effort as the Jackal. OK film but nothing more."
2600,Negative,Positive,"Definitely an odd debut for Michael Madsen. Madsen plays Cecil Moe, an alcoholic family man whose life is crumbling all around him. Cecil grabs a phone book, looks up the name of a preacher, and calls him in the middle of the night. He goes to the preacher's home and discusses his problems. The preacher teaches Cecil to respect the word of God and have Jesus in his heart. That makes everything all better. Ahh...if only everything in life were that easy. The fact that this ""film"" looks as if it was made with about $500 certainly doesn't help. 1/10"
2612,Positive,Negative,"I really enjoyed this old black and white talkie. At first I didn't recognize Harold Lloyd as Mr. Cobb, a missionary to China coming home to find a wife. There were many twists and turns in Mr. Cobb's attempts to clean up city hall. His methods of making the punishment fit the crime would likely be illegal, but this is not a movie based on reality. This would be a perfect movie for children except that there is female near nudity (pasties only on Grace Bradley)! The old telephones are enchanting. The only fault is a problem typical of the day - Caucasians are used to represent Chinese men. This is offset by the positive way the Chinese are portrayed. They are the wise, good and friendly guys. Trivia - a Bekins truck appears in the movie when the police run out of Black Marias."
2617,Positive,Negative,"First of all, we know that Bruce Willis is a good actor but if you take the majority of his movies you'll see that the characters have these moments where they are the same. His character in this movie is far beyond every single one so far... and counting. The story begins in the (not so far) future where a man is sent to the past to find the source of a virus that has swept most of humanity from the face of the earth. The story seems to go towards SF but i think its closer to a drama because of the slow rhythm of the story. About that. Movies tend to be faster and slower at some points and develop more towards the end than the beginning but as you see this movie you'll be aware of this constant rhythm of story and revealing facts that does not speed up nor slow down. Its the one and the same speed that flows gently and pretty good. But that doesn't mean that the ending wont pull your nerves, cause its pretty good. As far as the direction goes, it is prefect. Movies as such are easily destroyed by bad directing but this one has become far better. So, if you are getting ready to see a Sci-Fi movie or some action, you'll miss it. B There should be more movies like this."
2625,Positive,Negative,Worst horror film ever but funniest film ever rolled in one you have got to see this film it is so cheap it is unbeliaveble but you have to see it really!!!! P.s watch the carrot
2629,Negative,Positive,"To be honest at the time i first heard of this show i though it may be a bad idea to make a show that makes Muslims use racial jokes on themselves but it is the Exact opposite. I realized that the show doing that can help people understand that if a Muslim uses s a word like this in real life it doesn't mean it is a terrorist thing. It also show's how people give the Muslims a bad name because they play on their stereotype, by watching the show regular people will realize that all though there may be bad Muslims out it doesn't mean we are all bad we just try to live 1 day at a time, like how hard it was for Amair to get on a plane and how he used words like ""Blow up"" or Yaser saying we'll blow away the competition, and people took it the wrong way. Being a Muslim i know that stuff like this don't usually happen, but they do and many people think bad things about Muslims or Afghanistan or Iraq, its not right things are not like that. people will see how we are poorly treated by watching this show and it may make them think on how the act. I am glad a show like this came on the air. There are many shows that Piotr Muslim people as terrorists,many people do find them funny to my opioion it is OK to do it now and then because prety much everything is made fun of who are we to say you can not make fun of that is unfair, but it is done to often and really gives Muslin people a bad name."
2662,Negative,Positive,"I tried twice to get through this film, succeeding the first time - and it was like pulling teeth - and failing the second time despite a great DVD transfer. The problem? It's simply too boring.<br /><br />If you can get to the dramatic courtroom scene, which takes up most of the second half of the film, you have it made, but it's tough getting to that point. There are some interesting talks by ""Abraham Lincoln"" (Henry Fonda) during the trial. The ending is touching as Lincoln walks off and they superimpose his Memoral statue over the screen.<br /><br />It's a nice story, well-acted and such....but it lacks spark in the first half and discourages the viewer from hanging in there. I suspect the real Abe Lincoln was a lot more interesting than this film."
2668,Negative,Positive,"In its way, Mister Foe (originally, and more appropriately, titled Hallam Foe  I can't see addressing its title character as ""mister""), is a tribute to good acting. Both Jamie Bell, as Hallam, a physically attractive voyeur/creep, and Sophia Myles, as Kate, his kinky partner in sex and fantasy romance, are convincing. The problem comes when you try to connect their roles to anything that happens in real life. A young man who spies on the intimate details of people's lives the way Hallam does would be deservedly beaten to a pulp. And a woman in Kate's situation would be repulsed and frightened - she would probably call the police.<br /><br />These things are not, however, what happens in the movie. Poor Hallam's mother has died and his father married a woman with whom he's been having an affair. Hallam, of course, hates his stepmother and lets he know it. She has sex with him. Kate's some kind of an employment person who places Hallam in a dish washing job and plays sexual games. She looks like his birth mother. It all ends happily with Hallam ""resolving"" his ""issues"".<br /><br />Forty some years ago, the play and brilliantly acted movie, Who's Afraid of Virginia Woolf, had a similarly optimistic ending, with characters becoming wiser and better after tearing each other apart. The trouble is, it doesn't always work that way, especially when nobody really cares. In Virginia Woolf, the ending's plausible because of the intensity of the emotional revelation. In Mister Foe, the emotional revelation never really happens."
2673,Negative,Positive,"Los Angeles, 1976. Indie film brat John Carpenter, fresh out of film school and with one film - his class project's no-budget spoof of 2001 called Dark Star - under his belt, finishes a gritty actioner called Assault On Precinct 13. The story of an almost deserted police station under siege by an unseen LA gang, it was a minor hit on the drive-in circuit and garnered small praise from the few critics who cared, but it hardly set the film world on fire, unlike Carpenter's follow-up smash Halloween (1978). On Precinct, Carpenter was still learning how to exploit his almost non-existent budget by using lower-shelf actors, keeping the action to the one hellishly small location, and moving the film along at a tight pace with a combination of editing, intelligent camera work and switched-on genre savvy.<br /><br />No-one wants or needs to be hungry in Hollywood anymore, particularly if the week's catering bill on the 2005 version of Assault On Precinct 13 is more than the entire cost of the original. It does translate into a certain kind of laziness on a filmmaker's part - you have a stupidly large union crew, a studio and a marketing firm all doing your thinking for you. Which is why twenty years after watching Carpenter's film I can still see every glorious moment, from the small girl gunned down in cold blood while buying an ice cream, to the relentless pounding synth score. A week after Assault 2005, I remember Larry Fishburne's unmoving ping pong ball eyes and little else.<br /><br />""Forgettable popcorn actioner"" fits the top of the poster perfectly. It's New Years Eve at Precinct 13, a station closing down with a skeleton staff to see in its final hours. On call is Jake Roenick (Ethan Hawke), an ex-narc now deeply troubled and hopped up on Jack Daniels and Seconol after his partners were iced in the opening scene; Iris (The Sopranos' Drea de Matteo), a nympho with a thing for criminal types, and Jasper (Brian Dennehy), a crusty old timer one scotch away from retirement. As in Carpenter's Assault..., a bus with four heavy-duty criminals is rerouted to the Precinct. All boozy eyes are on gangster kingpin Bishop (Fishburne, still beefed-up from his time in the Matrix) who has narrowly survived an assassination attempt from an undercover cop and plans to blow the lid on the endemic corruption in the organized crime unit led by Marcus Duvall (a tired-looking Gabriel Byrne). Soon the phones are out, the power lines are down, and both crims and police find themselves heavily armed with a serious police arsenal and consumed with paranoia while waging war against a task force of Duvall's corrupt cops sporting white balaclavas, bullet vests, infra-red bazookas and more high-tech gear than the Skywalker Ranch. This, we're expected to believe as the helicopters buzz around the top of the police station shooting rockets into windows, is a clandestine operation to cover Duvall's tracks. He may as well have taken out billboards on Hollywood Boulevard.<br /><br />As with the recent Seventies genre reworking Dawn Of The Dead, Assault 2005 takes the barest plot essentials of John Carpenter's original and, to quote the Seventies, ""does it's own thing, man"". The main question is - why bother? John Carpenter's 1976 is a cult favorite among genre buffs, but is hardly branded in the public's collective consciousness. Carpenter himself was busy reworking Howard Hawks' classic western Rio Bravo into a tight, claustrophobic urban thriller for only $20,000. French wunderkind director and rap producer Jean-Francois Richet, a self-professed fan of John Carpenter's work, seems less concerned with making an homage to either Hawks or JC - although the script is peppered with references to cowboys and injuns - and seems intent on squeezing in as much flash and firepower as the multi-million dollar budget can withstand. The result: some tense moments with hand-held POV cameras, an unexpectedly high (and bloody) body count, a few neat plot twists, but essentially a B-grade urban actioner with a much inflated price tag. As for name-checking Carpenter, it's pure conceit on the part of the filmmakers that doesn't pay off.<br /><br />To Monsieur Richet, I say bon voyage, and I wish you luck on your music career."
